folioviv,foliohog,ubica_geo,tam_loc,factor,clase_hog,sexo_jefe,edad_jefe,educa_jefe,tot_integ,ing_cor
0100638306,1,01001,1,181,2,1,38,10,3,53804.34
0100639901,1,01001,1,174,2,1,75,06,4,47079.23999999999
0100639902,1,01001,1,174,3,2,49,10,5,44460.2
0100639903,1,01001,1,174,2,1,49,07,5,79239.13000000001
0100639904,1,01001,1,174,3,1,49,10,3,10250.43
0100639905,1,01001,1,174,1,2,69,03,1,16371.66
0100639906,1,01001,1,174,3,2,48,10,2,160434.77
0100644801,1,01001,1,171,2,2,83,03,2,18089.07
0100644802,1,01001,1,171,2,1,68,01,2,23699.99
0100644803,1,01001,1,171,2,1,73,04,2,25903.73
0100644804,1,01001,1,171,3,1,80,03,5,39201.5
0100644805,1,01001,1,171,2,1,42,06,2,67918.02
0100644806,1,01001,1,171,2,1,42,04,5,108421.95
0100656401,1,01001,1,187,3,1,47,06,6,32779.67
0100656402,1,01001,1,187,2,2,67,09,3,24348.89
0100656403,1,01001,1,187,3,1,60,06,6,55054.6
0100656404,1,01001,1,187,1,2,70,09,1,20824.09
0100656405,1,01001,1,187,3,1,71,04,7,29190.5
0100656405,2,01001,1,187,2,2,36,06,5,8099.959999999999
0100656406,1,01001,1,187,2,1,37,08,3,34925.95
0100662501,1,01001,1,205,3,1,72,06,7,85578.49000000001
0100662504,1,01001,1,205,2,2,59,04,2,60536.06999999999
0100662505,1,01001,1,205,2,1,60,10,3,67883.39
0100662506,1,01001,1,205,2,2,58,08,3,65025.92
0100674301,1,01001,1,201,3,1,67,11,5,167107.68
0100674302,1,01001,1,201,3,1,27,10,3,88146.48999999999
0100674304,1,01001,1,201,2,1,53,10,4,257847.28
0100674305,1,01001,1,201,2,1,66,11,2,251917.93
0100674306,1,01001,1,201,2,1,73,10,2,51621.4
0100699001,1,01001,1,199,2,1,37,08,5,130382.56
0100699002,1,01001,1,199,1,1,32,08,1,30495.82999999999
